,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
0,10001,0.633613,0.577565,47.1,49.311178,3.525052019,804.9679731,63.81,0.19,-3.39,D+
1,10002,0.24827,0.22483,69.25,70.7231,3.55346541,738.3956052,40.81,0.96,-4.17,C--
2,10003,0.288415,0.220472,60.56,62.068887,6.51,62.14,34.41,-0.91,3.75,C--
3,10004,0.204417,0.182754,39.15,40.537171,0.25,380.0,68.75,0.63,-4.93,D+
4,10005,18.583419,16.405158,21.93,57.918577,6.24,58.9,80.95,0.04,18.37,D+
5,10006,0.201782,0.178997,19.43,20.810779,3.574098001,817.0131071,66.08,0.87,-5.29,D+
6,10007,0.000818,0.000682,9.22,10.2215,3.559672963,725.2494048,29.26,1.92,-0.74,C--
7,10008,0.206378,0.184877,13.74,15.131255,0.31,572.18,78.31,1.65,-11.29,D+
8,10009,0.011034,0.010267,28.69,29.711301,3.530504121,814.0168601,69.93,0.46,-6.47,D+
9,10010,0.086233,0.07721,27.33,28.493443,0.0,1380.007,58.08,-0.07,-6.11,D++
10,10011,0.281052,0.246505,45.7,47.227557,0.09,1412.59,51.66,0.03,-5.13,D++
11,10012,0.500527,0.453111,32.79,34.743638,5.55,39.96,60.57,0.65,21.78,D++
12,10013,0.006532,0.005351,44.58,45.591883,3.539856948,777.4822434,62.23,0.17,-3.39,D+
13,10014,17.99401,15.600857,61.73,96.324867,0.15,217.47,45.96,0.43,-0.62,D++
14,10015,0.028179,0.024523,63.03,64.082702,0.49,190.57,42.26,0.01,-3.03,D++
15,10016,0.044535,0.038799,68.23,69.313334,3.57247643,676.2045495,42.42,0.11,-0.39,D++
16,10017,18.452421,15.808199,61.7,96.96062,0.385,51.347,60.2,1.64,0.488,D++
17,10018,0.031839,0.028181,51.39,52.45002,3.595168985,669.2665632,35.21,0.54,-4.17,C--
18,10019,0.043794,0.037888,48.52,49.601682,3.503982712,868.5655385,58.53,0.37,-2.9,D++
19,10020,160.21932,150.990167,34.22,346.429487,0.82,290.35,44.08,0.2,-12.26,D++
20,10021,1.041566,0.902404,61.67,64.61397,1.56,78.52,40.44,0.26,1.03,C--
21,10022,0.32676,0.297229,41.56,43.183989,1.31,163.86,60.72,0.4,-5.73,D++
22,10023,13.931941,11.936155,35.76,62.628096,1.35,367.16,58.96,2.04,-15.67,D++
23,10024,0.17418,0.157479,14.27,15.601659,1.94,25.21,77.6,0.15,17.65,D+
24,10025,0.070572,0.062415,67.42,68.552987,0.747,280.937,26.448,0.14,0.618,C--
25,10026,0.144106,0.131851,26.11,27.385957,0.103,2085.442,37.337,0.008,-4.364,C--
26,10027,0.385869,0.347412,69.14,70.873281,3.567972463,667.8509399,42.11,0.14,-1.96,D++
27,10028,0.002071,0.001817,81.51,82.513888,3.600399479,659.2949148,21.89,-0.01,-2.05,C--
28,10029,0.787503,0.71641,29.05,31.553913,3.51769843,713.5070862,44.0,0.31,-3.64,D++
29,10030,0.085395,0.074545,84.84,85.99994,3.607451221,692.2583656,35.21,0.09,-1.03,C--
30,10031,0.052201,0.04631,61.31,62.408511,3.488646847,1022.005355,49.3,0.83,-1.95,D++
31,10032,0.046068,0.041558,49.97,51.057626,0.21,1062.75,48.98,-0.62,-9.37,D++
32,10033,8.502962,7.715442,49.35,66.568404,1.75,150.38,26.33,0.142,-2.57,C--
33,10034,0.003533,0.002818,48.28,49.286351,3.515510986,797.4429258,53.8,0.19,-1.29,D++
34,10035,0.14033,0.126971,49.14,50.407301,3.563411725,803.2027648,58.22,0.26,-8.24,D++
35,10036,0.582953,0.525176,31.26,33.368129,1.63,77.53,65.78,1.52,2.45,D+
36,10037,2.742786,2.454037,29.06,35.256823,3.28,69.61,59.65,0.23,5.78,D++
37,10038,0.395155,0.358486,69.99,71.743641,3.592034011,736.7869358,41.87,0.96,-6.88,D++
38,10039,0.165717,0.14632,40.05,41.362037,24.34,53.88,40.29,0.014,101.98,D++
39,10040,0.147639,0.129381,22.46,23.73702,0.0,241.574,62.72,0.0,-9.09,D+
40,10041,0.18866,0.077967,128.3,129.566627,3.558557662,827.2504963,39.6,0.273977146,0.0,C--
41,10042,0.602693,0.532671,11.14,13.275364,3.585437075,689.4607763,25.47,0.1,-0.4,C--
42,10043,0.160025,0.146291,67.42,68.726316,1.7,77.64,37.06,0.07,1.67,C--
