id,assets,liabilities,buffer,weights
10001,0.608274,0.548714,68.03,70.186988
10002,0.239875,0.216178,71.54,72.996053
10003,0.25869,0.192755,57.44,58.891445
10004,0.205441,0.183767,43.93,45.319208
10005,17.273748,14.885899,24.23,57.389647
10006,0.189972,0.17021,39.04,40.400182
10007,0.000846,0.000705,20.39,21.391551
10008,0.208092,0.187318,16.29,17.68541
10009,0.009847,0.009155,28.93,29.949002
10010,0.085566,0.077144,27.88,29.04271
10011,0.275214,0.240824,47.47,48.986038
10012,0.364128,0.33018,28.06,29.754308
10013,0.006288,0.00512,44.65,45.661408
10014,18.081009,15.817989,66.6,101.498998
10015,0.026729,0.022955,55.65,56.699684
10016,0.045108,0.039603,74.33,75.414711
10017,17.700429,15.208592,66.1,100.009021
10018,0.031579,0.028103,54.43,55.489682
10019,0.040104,0.034282,43.24,44.314386
10020,129.881698,123.160823,45.06,299.102521
10021,0.890574,0.759642,52.24,54.890216
10022,0.329806,0.298916,47.45,49.078722
10023,13.042281,11.075956,47.69,72.808237
10024,0.16897,0.152659,18.33,19.651629
10025,0.072027,0.063068,72.02,73.155095
10026,0.14607,0.131888,30.43,31.707958
10027,0.380633,0.339618,80.3,82.020251
10028,0.002382,0.002128,86.35,87.35451
10029,0.782111,0.701983,32.67,35.154094
10030,0.085775,0.074927,84.54,85.700702
10031,0.046701,0.041231,57.39,58.477932
10032,0.044755,0.040258,47.68,48.765013
10033,5.038778,4.226908,54.16,64.425686
10034,0.003647,0.002907,23.36,24.366554
10035,0.137143,0.123484,46.18,47.440627
10036,0.557916,0.501134,32.19,34.24905
10037,2.608031,2.340917,39.62,45.568948
10038,0.389909,0.349622,77.45,79.189531
10039,0.159846,0.140636,49.25,50.550482
10040,0.142022,0.124584,27.82,29.086606
10041,0.415571,0.321498,88.06,89.797069
10042,0.490945,0.427071,10.05,11.968016
10043,0.164598,0.150344,63.7,65.014942
10044,0.073009,0.067283,44.21,45.350292
10045,23.137567,20.647041,35.82,80.604608
10046,5.781069,5.351326,7.34,19.472395
10047,14.101616,14.057805,54.07,83.229421
10048,0.080313,0.071728,8.1,9.252041
10049,0.322491,0.294591,43.87,45.487082
10050,0.761611,0.592006,14.13,16.483617
10051,0.238488,0.212204,49.19,50.640692
10052,0.068347,0.060557,62.92,64.048904
10053,0.010924,0.009462,56.21,57.230386
10054,0.017175,0.015608,42.44,43.472783
10055,0.687297,0.563109,30.04,32.290406
10056,1.731654,1.584211,30.15,34.465865
10057,0.011007,0.010233,37.94,38.96124
10058,0.000831,0.000649,36.18,37.18148
10059,57.691346,54.36355,12.78,125.834896
10060,0.418678,0.378654,55.13,56.927332
10061,85.81,79.788,69.55,236.148
10062,0.005048,0.00413,74.4,75.409178
10063,0.119902,0.106261,55.89,57.116163
10064,7.391986,7.391586,0.23,16.013572
10065,0.147007,0.13005,44.86,46.137057
10066,0.039385,0.033556,17.73,18.802941
10067,6.403309,5.262596,85.71,98.375905
10068,0.12226,0.108461,33.47,34.700721
10069,1.676517,1.547624,14.83,19.054141
10070,0.650991,0.592934,44.95,47.193925
10071,0.256708,0.232005,85.11,86.598713
10072,0.108233,0.09358,63.8,65.001813
10073,0.092129,0.081222,32.46,33.633351
10074,0.082084,0.072122,42.24,43.394206
10075,10.234332,9.426316,32.03,52.690648
10076,0.074936,0.064327,30,31.139263
10077,0.017426,0.015266,53.36,54.392692
10078,0.229331,0.209345,37.9,39.338676
10079,0.79474,0.731222,48.54,51.065962
10080,7.301831,6.810521,13.96,29.072352
10081,0.088079,0.080361,48.25,49.41844
10082,0.945003,0.854139,42.44,45.239142
10083,2.525375,2.271861,37.57,43.367236
10084,2.274478,2.208511,93.9,99.382989
10085,0.215577,0.191358,52.84,54.246935
10086,2.148577,1.955841,21.47,26.574418
10087,1.654981,1.54657,31.95,36.151551
10088,0.61084,0.541184,18.23,20.382024
10089,0.199727,0.183892,58.84,60.223619
10090,3.188626,2.833767,53.97,60.992393
10091,0.018355,0.016844,76.48,77.515199
10092,2.209375,2.041793,56.75,62.001168
10093,0.01719,0.015568,78.76,79.792758
10094,0.14055,0.128356,28.69,29.958906
10095,2.615122,2.211991,18.19,24.017113
10096,0.840968,0.760506,16.4,19.001474
10097,0.000453,0.000407,107.2,108.20086
10098,0.034364,0.03101,81.93,82.995374
