"id","assets","liabilities","buffer","weights"
"10001",0.676883,0.614378,28.26,30.551261
"10002",0.275568,0.247412,62.09,63.61298
"10003",0.443291,0.352391,47.09,48.885682
"10004",0.234565,0.208343,35.01,36.452908
"10005",31.071557,27.687517,25.07,84.829074
"10006",0.223828,0.199829,21.4,22.823657
"10007",0.000517,0.000432,45.14,46.140949
"10008",0.219348,0.192903,14.47,15.882251
"10009",0.007464,0.0069159999999999,11.72,12.73438
"10010",0.118886,0.107476,15.84,17.066362
"10011",0.361236,0.315833,40.9,42.577069
"10012",0.459294,0.415325,22.93,24.804619
"10013",0.0066099999999999,0.005468,20.1,21.112078
"10014",23.146514,20.405102,66.72,111.271616
"10015",0.025799,0.021918,68.44,69.487717
"10016",0.046636,0.041102,49.21,50.297738
"10017",23.615382,20.346208,63.86,108.82159
"10018",0.031392,0.028017,46.75,47.809409
"10019",0.057262,0.0499449999999999,53.76,54.867207
"10020",277.622533,254.97965,45.66,579.262183
"10021",0.940955,0.775128,50.92,53.636083
"10022",0.39991,0.364506,21.63,23.394416
"10023",14.556429,12.38677,43.04,70.983199
"10024",0.352655,0.316583,16.57,18.239238
"10025",0.074304,0.063659,53.95,55.087963
"10026",0.16917,0.153437,21.62,22.942607
"10027",0.450611,0.399978,39.35,41.200589
"10028",0.001684,0.001465,47.08,48.083149
"10029",0.880822,0.793626,18.64,21.314448
"10030",0.092767,0.081308,58.39,59.564075
"10031",0.067396,0.059487,20.82,21.946883
"10032",0.049915,0.045083,49.26,50.354998
"10033",23.403909,21.575978,31.64,77.619887
"10034",0.003886,0.003275,55.66,56.667161
"10035",0.195017,0.176204,53.16,54.531221
"10036",0.718393,0.642955,30.69,33.051348
"10037",4.759594,4.202057,22.64,32.601651
"10038",0.462815,0.426989,43.85,45.739804
"10039",0.202202,0.179202,33.39,34.771404
"10040",0.491848,0.438175,13.44,15.370023
"10041",0.204263,0.074835,194.44,195.719098
"10042",0.817888,0.704191,9.87,12.392079
"10043",0.236468,0.215955,53.47,54.922423
"10044",0.072445,0.066707,4.98,6.119152
"10045",22.485182,20.260126,14.08,57.825308
"10046",6.977474,6.496281,12,26.473755
"10047",21.139733,21.08349,56.2,99.423223
"10048",0.098027,0.086896,15.5,16.684923
"10049",0.393372,0.362197,36.61,38.365569
"10050",2.35669,2.023026,10.5,15.879716
"10051",1.770401,1.588082,16.41,20.768483
"10052",0.062524,0.053961,69.12,70.236485
"10053",0.013803,0.012157,54.77,55.79596
"10054",0.01853,0.016833,20.7,21.735363
"10055",0.774144,0.630252,36.98,39.384396
"10056",2.437615,2.180863,16.2,21.818478
"10057",0.011191,0.010287,23.91,24.931478
"10058",0.000867,0.000682,23.29,24.291549
"10059",55.342977,51.362725,14.25,121.955702
"10060",0.44181,0.391197,42.66,44.493007
"10061",198.592,185.368,32.51,417.47
"10062",0.006292,0.005124,46.64,47.651416
"10063",0.124721,0.110821,55.42,56.655542
"10064",6.535754,6.534318,0.11,14.180072
"10065",0.180049,0.160358,43.5,44.840407
"10066",0.052237,0.045217,15.59,16.687454
"10067",7.199915,5.880971,36.69,50.770886
"10068",0.140941,0.122349,23.11,24.37329
"10069",1.748059,1.597501,15.39,19.73556
"10070",0.639768,0.583046,35.2,37.422814
"10071",0.694479,0.618471,89.55,91.86295
"10072",0.102459,0.088825,27.11,28.301284
"10073",0.13225,0.119173,48.18,49.431423
"10074",0.074823,0.064649,31.67,32.809472
"10075",11.629824,10.730113,20.55,43.909937
"10076",0.11481,0.100621,19.26,20.475431
"10077",0.0233419999999999,0.020087,51.13,52.173429
"10078",0.180212,0.160925,61.22,62.561137
"10079",1.045161,0.960579,25.03,28.03574
"10080",3.895518,3.608928,27.33,35.834446
"10081",0.131908,0.120521,24.2,25.452429
"10082",1.147785,1.042559,42.62,45.810344
"10083",4.042486,3.598255,24.8,33.440741
"10084",1.280776,1.189816,87.52,90.990592
"10085",0.259088,0.235012,39.71,41.2041
"10086",2.621323,2.336332,17.7,23.657655
"10087",1.780568,1.631381,27.27,31.681949
"10088",1.441998,1.300824,16.11,19.852822
"10089",0.225108,0.205635,18.83,20.260743
"10090",7.288011,6.869582,38.02,53.177593
"10091",0.019753,0.017953,27.24,28.277706
"10092",3.728377,3.515435,43.65,51.893812
"10093",0.022288,0.019875,1.82,2.862163
"10094",0.193878,0.176693,31.99,33.360571
"10095",2.266352,1.897846,8.34,13.504198
"10096",1.079274,0.952427,13.17,16.201701
"10097",0.000376,0.000337,99.71,100.710713
"10098",0.035166,0.031372,65.93,66.996538
"10099",0.89463,0.799769,31.16,33.854399
"10100",0.128822,0.116464,25.01,26.255286
"10101",0.388214,0.338575,44.36,46.086789
"10102",0.162698,0.144369,32.77,34.077067
"10103",0.164854,0.121806,23.82,25.10666
"10104",10.644397,9.995928,2.26,23.900325
"10105",0.104004,0.095209,5.36,6.559213
"10106",0.736916,0.655864,1.71,4.10278
"10107",0.114544,0.103078,31.28,32.497622
"10108",0.0326529999999999,0.027555,56.81,57.870208
"10109",0.066625,0.057248,64.85,65.973873
"10110",0.084719,0.077739,58.82,59.982458
"10111",0.018038,0.015933,76.16,77.193971
"10112",0.927259,0.858423,37.35,40.135682
"10113",0.043286,0.037765,70.71,71.791051
"10114",0.016525,0.013786,60.48,61.510311
"10115",0.071782,0.063569,39.2,40.335351
"10116",0.004099,0.0036509999999999,12.1,13.10775
"10117",0.01094,0.009347,52.49,53.510287
"10118",0.20466,0.18038,12.28,13.66504
"10119",1.035689,0.889935,24.98,27.905624
"10120",20.386893,18.900961,20.72,61.007854
"10121",0.219788,0.197312,27.66,29.0771
"10122",0.196691,0.175625,24.37,25.742316
"10123",0.131259,0.049237,102.83,104.010496
"10124",0.207913,0.18651,15.5,16.894423
"10125",0.094564,0.084406,61.25,62.42897
"10126",0.527474,0.469327,32.63,34.626801
"10127",0.237468,0.21401,24.26,25.711478
"10128",57.473484,54.762265,29,142.235749
"10129",0.358281,0.327281,35.88,37.565562
"10130",37.009152,32.433802,248.25,318.692954
"10131",0.013243,0.0122239999999999,58.19,59.215467
"10132",1.905944,1.682523,70.33,74.918467
"10133",7.531668,6.796888,27.61,42.938556
"10134",0.149132,0.13037,50.35,51.629502
"10135",0.202917,0.163574,41.52,42.886491
"10136",3.420242,3.190804,41.03,48.641046
"10137",0.02797,0.0240139999999999,44.84,45.891984
"10138",0.269182,0.246986,39.81,41.326168
"10139",0.116707,0.10138,23.67,24.888087
"10140",0.092954,0.079239,71.62,72.792193
"10141",1.794686,1.631098,24.77,29.195784
"10142",0.31236,0.280799,17.99,19.583159
"10143",0.709239,0.612207,39.55,41.871446
"10144",0.643491,0.579524,14.83,17.053015
"10145",0.0386139999999999,0.03142,47.05,48.120034
"10146",0.922364,0.863567,57.36,60.145931
"10147",15.60386,14.743572,36.36,67.707432
"10148",0.181259,0.162223,28.59,29.933482
"10149",0.020961,0.019427,53.57,54.610388
"10150",542.677061,506.671689,51.9,1102.24875
"10151",3.568907,3.390809,41.93,49.889716
"10152",0.362089,0.326786,9.74,11.428875
"10153",0.072608,0.064026,34.84,35.976634
"10154",0.108474,0.085236,49.69,50.88371
"10155",0.014646,0.013221,57.67,58.697867
"10156",0.051266,0.0461,40.65,41.747366
"10157",0.16976,0.139387,25.66,26.969147
"10158",0.239002,0.208955,16.43,17.877957
"10159",0.162845,0.144756,19.14,20.447601
"10160",6.53143,5.840839,40.68,54.052269
"10161",0.051273,0.045484,17.8,18.896757
"10162",0.050703,0.046329,27.57,28.667032
"10163",1.39638,1.333086,61.6,65.329466
"10164",35.802332,32.983165,46.09,115.875497
"10165",0.903668,0.797781,17.42,20.121449
"10166",0.017879,0.017031,60.54,61.57491
"10167",0.925706,0.834906,45.1,47.860612
"10168",2.518797,2.241761,25.22,30.980558
"10169",0.99917,0.890987,34.45,37.340157
"10170",6.492519,5.598513,32.08,45.171032
"10171",0.315223,0.285351,35.18,36.780574
"10172",0.41495,0.371594,20.05,21.836544
"10173",0.259842,0.2257,69.41,70.895542
"10174",0.171986,0.159875,14.07,15.401861
"10175",0.050957,0.044106,51.81,52.905063
"10176",0.089652,0.080206,18.52,19.689858
"10177",0.121096,0.107279,41.78,43.008375
"10178",5.264698,4.243662,42.49,52.99836
"10179",0.0030629999999999,0.002692,25.2,26.205755
"10180",9.846264,9.132968,31.33,51.309232
"10181",0.03251,0.027091,45.13,46.189601
"10182",0.018496,0.016789,24.87,25.905285
"10183",0.635559,0.600198,54.68,56.915757
"10184",0.0268029999999999,0.020666,41.73,42.777469
"10185",0.0783389999999999,0.070669,83.22,84.369008
"10186",2.385489,2.103462,42.68,48.168951
"10187",5.107638,4.209702,39.28,49.59734
"10188",0.06541,0.059524,42.18,43.304934
"10189",0.331714,0.295853,13.21,14.837567
"10190",0.970004,0.8411,20.07,22.881104
"10191",0.002793,0.002037,15.23,16.23483
"10192",0.35228,0.310498,24.33,25.992778
"10193",0.0324189999999999,0.02441,4.95,6.006829
"10194",418.330796,375.858663,35.3,830.489459
"10195",0.116682,0.097706,17.14,18.354388
"10196",2.03755,1.775258,16.78,21.592808
"10197",0.140919,0.125462,40.8,42.066381
"10198",2.446935,2.307147,30.51,36.264082
"10199",18.576381,17.404727,7.64,44.621108
"10200",23.504902,20.675301,20.38,65.560203
"10201",0.002828,0.002618,29.16,30.165446
"10202",7.204363,6.329422,50.52,65.053785
"10203",0.236156,0.208854,32.42,33.86501
"10204",0.187389,0.147214,73.21,74.544603
"10205",0.01048,0.007709,97.56,98.578189
"10206",0.551422,0.467706,38.99,41.009128
"10207",0.097453,0.080034,41.71,42.887487
"10208",0.102442,0.09317,23.15,24.345612
"10209",0.052894,0.042726,19.01,20.10562
"10210",1.02612,0.903062,27.01,29.939182
"10211",0.018158,0.017004,20.4,21.435162
"10212",0.01286,0.011684,32.57,33.594544
"10213",6.991578,6.032455,4.78,18.804033
"10214",0.106429,0.092502,39.98,41.178931
"10215",0.507704,0.459054,34.72,36.686758
"10216",0.031101,0.027992,58.93,59.989093
"10217",0.183907,0.166914,59.13,60.480821
"10218",0.008115,0.007423,28.95,29.965538
"10219",0.278907,0.251589,58.4,59.930496
"10220",0.232478,0.220034,46.61,48.062512
"10221",0.914722,0.808676,2.36,5.083398
"10222",0.174394,0.155125,20.76,22.089519
"10223",0.698703,0.631463,33.06,35.390166
"10224",0.594701,0.528564,17.89,20.013265
"10225",0.069992,0.063626,37.5,38.633618
"10226",0.023618,0.021524,44.53,45.575142
"10227",0.008373,0.005752,74.78,75.794125
"10228",1.31588,1.197621,19.94,23.453501
"10229",0.820898,0.752007,8.63,11.202905
"10230",0.755178,0.694318,32.91,35.359496
"10231",0.209224,0.180131,34.61,35.999355
"10232",46.658781,45.005106,40.74,133.403887
"10233",0.189462,0.175266,65.67,67.034728
"10234",0.118699,0.102541,14.67,15.89124
"10235",0.170692,0.153627,42.24,43.564319
"10236",0.032455,0.028416,34.03,35.090871
"10237",4.428972,3.927958,21.95,31.30693
"10238",0.0696529999999999,0.063218,11.71,12.842871
"10239",0.174529,0.107347,35.74,37.021876
"10240",2.976982,2.79753,43.66,50.434512
"10241",0.015493,0.014324,32.58,33.609817
"10242",7.112603,6.399194,18.6,33.111797
"10243",17.954565,15.996604,20.66,55.611169
"10244",0.24364,0.221777,29.39,30.855417
"10245",13.939445,13.354112,93.73,122.023557
"10246",0.168245,0.152876,4.79,6.111121
"10247",0.012274,0.010785,53.01,54.033059
"10248",0.767836,0.704232,27.41,29.882068
"10249",0.118502,0.108372,54.19,55.416874
"10250",0.182073,0.155866,68.86,70.197939
"10251",0.050107,0.04444,34.35,35.444547
"10252",0.085684,0.074563,69.12,70.280247
"10253",21.068558,10.370165,281.54,313.978723
"10254",1.667883,1.445238,27.99,32.103121
"10255",0.0290759999999999,0.025425,13.21,14.264501
"10256",0.031237,0.0291,17.22,18.280337
"10257",1.025764,0.894583,42.94,45.860347
"10258",0.511971,0.465712,33.31,35.287683
"10259",0.403237,0.37449,40.32,42.097727
"10260",0.041548,0.036511,15.25,16.328059
"10261",0.187555,0.16314,20.02,21.370695
"10262",0.680114,0.417245,121.34,123.437359
"10263",0.00892,0.007112,74.2,75.216032
"10264",0.096466,0.084415,35.18,36.360881
"10265",0.081513,0.073674,34.55,35.705187
"10266",0.211601,0.183838,78.24,79.635439
"10267",4449.977,4408.588,0.44,8860.005
"10268",1.860714,1.700197,13.64,18.200911
"10269",4.660171,4.3647,55.56,65.584871
"10270",0.18335,0.168335,36.91,38.261685
"10271",0.142058,0.125497,42.65,43.917555
"10272",1.608912,1.448635,53.31,57.367547
"10273",0.075628,0.053624,15.07,16.199252
"10274",0.811899,0.727982,13.23,15.769881
"10275",0.616168,0.593562,37.09,39.29973
"10276",0.048549,0.040098,27.96,29.048647
"10277",0.127187,0.113694,48.25,49.490881
"10278",53.353579,48.305442,26.92,129.579021
"10279",0.066294,0.054575,67.99,69.110869
"10280",0.416291,0.354714,28.17,29.941005
"10281",0.000151,0.000135,73.14,74.140286
"10282",0.035515,0.0300399999999999,68.79,69.855555
"10283",0.0001149999999999,0.000102,41.33,42.330217
"10284",97.310743,87.325863,16.82,202.456606
"10285",0.228743,0.204419,21.03,22.463162
"10286",1.490031,1.32184,17.85,21.661871
"10287",0.265384,0.23505,39.07,40.570434
"10288",0.078981,0.069537,72.17,73.318518
"10289",2.920049,2.659987,74.78,81.360036
"10290",0.078808,0.071142,7.79,8.93995
"10291",0.343399,0.301581,20.92,22.56498
"10292",0.017504,0.015826,81.28,82.31333
"10293",0.07653,0.062018,59.75,60.888548
"10294",0.298009,0.265667,30.14,31.703676
"10295",1.551958,1.276637,16.5,20.328595
"10296",0.454578,0.409707,43.94,45.804285
"10297",9.696344,8.604532,28.53,47.830876
"10298",0.091238,0.0837,52.68,53.854938
"10299",0.011418,0.0103209999999999,22.17,23.191739
"10300",0.17645,0.150215,18.99,20.316665
"10301",0.13984,0.127213,48.55,49.817053
"10302",0.483106,0.397542,55.87,57.750648
"10303",0.382438,0.330285,74.3,76.012723
"10304",0.094269,0.085566,49.6,50.779835
"10305",0.0722039999999999,0.060735,62.48,63.612939
"10306",14.176477,13.022646,36.86,65.059123
"10307",0.015877,0.01473,30.53,31.560607
"10308",0.104066,0.093665,18.43,19.627731
"10309",0.031246,0.028962,27.11,28.170208
"10310",0.000364,0.000321,96.2,97.200685
"10311",0.045208,0.039733,40.55,41.634941
"10312",0.049997,0.045749,10.26,11.355746
"10313",3.558094,3.206837,11.7,19.464931
"10314",1.816797,1.567321,18.18,22.564118
"10315",2.535126,2.364488,60.82,66.719614
"10316",7.992703,7.649064,21.54,38.181767
"10317",0.212253,0.179191,79.84,81.231444
"10318",1.442147,1.247263,14.65,18.33941
"10319",0.414393,0.366064,36.02,37.800457
"10320",0.143265,0.110448,43.34,44.593713
"10321",0.019044,0.016943,12.4,13.435987
"10322",0.224888,0.203576,22.68,24.108464
"10323",5.107342,4.493264,13.56,24.160606
"10324",3.079399,2.67209,20.75,27.501489
"10325",1.273169,1.145363,29.95,33.368532
"10326",0.03933,0.034855,36.92,37.994185
"10327",1.078597,0.97781,28.1,31.156407
"10328",0.932291,0.842842,28.09,30.865133
"10329",4.684443,4.098114,35.07,44.852557
"10330",0.074323,0.046916,13.63,14.751239
"10331",0.994567,0.88069,21.98,24.855257
"10332",0.124742,0.0947269999999999,82.32,83.539469
"10333",0.191042,0.159603,66.85,68.200645
"10334",1.538213,1.385849,21.03,24.954062
"10335",4.17956,3.849602,4.89,13.919162
"10336",0.138672,0.125148,44.23,45.49382
"10337",0.075883,0.068047,61.54,62.68393
"10338",2.739101,2.359419,18.14,24.23852
"10339",0.145213,0.129502,53.24,54.514715
"10340",0.104485,0.097074,40.82,42.021559
"10341",1.683959,1.520981,15.97,20.17494
"10342",0.226096,0.201714,21.67,23.09781
"10343",0.112477,0.101799,35.19,36.404276
