id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
10001,3.535809982,718.9380459,67.08,0.11,-3.62,C-
10002,3.575046202,675.012908,36.36,0.54,-2.32,C+
10003,5.88,29.5,45.99,-0.314,12.59,C
10004,0.92,210.02,54.33,0.07,-5.24,C
10005,4.593,48.031,62.827,0.297,12.843,C-
10006,3.533459017,769.3430888,53.357,0.658,-4.947,C
10007,3.589242604,656.8911586,33.99,0,-4.01,C+
10008,0.15,497.69,83.86,-0.04,-4.72,C--
10009,3.537347026,871.4375837,61.01,0.39,-6.97,C-
10010,0.49,243.55,64.72,0,-4.91,C-
10011,0.19,660.8,63.41,0.09,-5.52,C-
10012,1.55,52.03,74.34,0.09,6,C-
10013,3.582001239,718.2957188,67.77,0.14,-4.22,C-
10014,0.11,326.97,34.11,0.24,-1.05,C+
10015,0,62.186,37.57,-0.01,-4.83,C+
10016,3.502223213,837.3673852,58.57,0.45,-1.26,C
10017,0.17,291.41,44.66,0.04,-0.99,C
10018,3.534080615,758.0494792,53.61,0.31,-4.09,C
10019,3.545139995,771.8787398,48.72,0.14,-0.81,C
10020,1.64,218.79,43.14,1.13,-11.23,C
10021,1.45,109.28,51.74,0.07,-0.49,C
10022,2.32,69.48,74.24,0.26,6.06,C-
10023,1.353,422.543,51.93,2.81,-19.59,C
10024,0.04,828.64,73.76,0.01,-2.14,C-
10025,2.42,60.34,50.9,0.15,3.49,C
10026,0.01,18283.33,70.35,-0.07,-11.31,C-
10027,3.584215307,714.811317,66.8,0.12,-4.77,C-
10028,3.399405475,33365.89277,11.07,-0.66,-12.98,C++
10029,3.556298346,905.3991717,51.34,0.1,-2.33,C
10030,3.600240309,891.2827383,36.07,0.05,-1.5,C+
10031,3.532857525,741.3786217,43.56,0.25,-1.11,C
10032,0,1568.945,56.31,0.32,-10.25,C
10033,0.75,328.6,47.67,0.47,-13.94,C
10034,3.519376784,822.1482454,65.72,0.3,-13.65,C-
10035,3.555136224,693.7218258,44.21,0.14,-2.19,C
10036,1.03,153.49,59.05,0.73,-3.13,C
10037,0.56,341.9,61.31,0,-6.71,C-
10038,3.550187928,725.9003111,70.75,0.41,-10.14,C-
10039,0.3,360.39,51.95,0.04,-4.15,C
10040,0.8,216.91,68.9,0.03,-6.66,C-
10041,3.643300437,878.2945028,26.2,0.271159648,-1.017,C+
10042,3.549479476,680.6991023,18.58,0.11,-0.29,C++
10043,0.11,420,55.88,0,-2.3,C
10044,3.537300601,838.389422,58.79,0.15,-3.11,C
10045,2.37,327.27,37.59,4.05,-24.62,C+
10046,1.71,33.07,75.4,0,13.43,C-
10047,3.661872699,845.0547485,44.833,-0.03241194,8.032976733,C
10048,0.01,12262.5,80.78,0.04,-15.46,C--
10049,1.302,87.746,50.211,0.127,1.716,C
10050,0.88,133.89,89.72,0.04,-2.01,C--
10051,8.02,15.336,67.41,0.246,-2.46,C-
10052,1.881,18.789,17.458,0.119,3.577,C++
